ticker,n,accuracy,auc,brier,coverage,selective_accuracy
GLD,1303,0.5310821181887951,0.48372207978959914,0.25207572000701517,0.0023023791250959325,
SLV,1303,0.5034535686876439,0.5088506521657179,0.2502453943150829,0.0,
USO,1303,0.5356868764389869,0.5005872741480972,0.25085552947588385,0.03069838833461243,0.6
UNG,1303,0.48503453568687643,0.5093191722160387,0.25013283449890467,0.039907904834996163,0.40384615384615385
TLT,1303,0.5080583269378358,0.470982132336653,0.25161306886659607,0.02762854950115119,0.4722222222222222
IEF,1303,0.501151189562548,0.48147720579573566,0.2509776491589678,0.0,
SHY,1303,0.4750575594781274,0.46150058101635344,0.2507363674844909,0.0,
HYG,1303,0.5188027628549501,0.4854996555401413,0.2513718437801749,0.0,
LQD,1303,0.5326170376055257,0.48591610946276553,0.2525373049721132,0.005372217958557176,0.7142857142857143
EMB,1303,0.5287797390636991,0.48635727556814157,0.25148775841426935,0.009976976208749041,0.5384615384615384
EFA,1303,0.5349194167306216,0.49265238575507475,0.251496819343557,0.015349194167306216,0.6
EEM,1303,0.5180353031465849,0.5072363765038925,0.25058267565448583,0.03453568687643899,0.5333333333333333
FXI,1303,0.48580199539524177,0.5111680931833722,0.2495098189164508,0.039907904834996163,0.5961538461538461
EWJ,1303,0.5188027628549501,0.4979202646206695,0.2507696668310018,0.005372217958557176,0.7142857142857143
EWZ,1303,0.5211051419800461,0.5050118481175182,0.25079734763019695,0.043745203376822715,0.5263157894736842
MTUM,1303,0.5433614735226401,0.5159853772017282,0.2511461335121482,0.024558710667689946,0.71875
VLUE,1303,0.5126630851880276,0.5042316940921308,0.2507913284774565,0.01841903300076746,0.5
QUAL,1303,0.5326170376055257,0.4954146022912792,0.25161313286462905,0.019953952417498082,0.6923076923076923
USMV,1303,0.5433614735226401,0.5043144376394626,0.2518163098875422,0.014581734458940905,0.7368421052631579
XBI,1303,0.511128165771297,0.514180585609157,0.25035982394344836,0.012279355333844973,0.625
XRT,1303,0.5126630851880276,0.5289688339855723,0.2493950762560125,0.01688411358403684,0.7727272727272727
XOP,1303,0.5026861089792786,0.5292715106964471,0.24971980887810624,0.03376822716807368,0.5227272727272727
MEAN,1303,0.5162213074722667,0.49911673398797946,0.25091051878038795,0.01796553408218796,0.6039563914757414
