ticker,n,accuracy,auc,brier,coverage,selective_accuracy
QQQ,3472,0.5550115207373272,0.5044489564912175,0.24864733,0.0034562211981566822,0.4166666666666667
IWM,3472,0.5342741935483871,0.5084778140611794,0.25041467,0.012096774193548387,0.5714285714285714
DIA,3472,0.5480990783410138,0.5118768560727469,0.24803542,0.0014400921658986176,
GLD,3472,0.5221774193548387,0.4976801726995475,0.25133568,0.012960829493087557,0.6222222222222222
TLT,3472,0.5233294930875576,0.5009608813704739,0.25085545,0.008064516129032258,0.5
